,n
0,"(_0:Movie {released: 1999, tagline: 'Welcome to the Real World', title: 'The Matrix'})"
1,"(_1:Person {born: 1964, name: 'Keanu Reeves'})"
2,"(_2:Person {born: 1967, name: 'Carrie-Anne Moss'})"
3,"(_3:Person {born: 1961, name: 'Laurence Fishburne'})"
4,"(_4:Person {born: 1960, name: 'Hugo Weaving'})"
5,"(_5:Person {born: 1967, name: 'Lilly Wachowski'})"
6,"(_6:Person {born: 1965, name: 'Lana Wachowski'})"
7,"(_7:Person {born: 1952, name: 'Joel Silver'})"
8,"(_8:Person {born: 1978, name: 'Emil Eifrem'})"
9,"(_9:Movie {released: 2003, tagline: 'Free your mind', title: 'The Matrix Reloaded'})"
10,"(_10:Movie {released: 2003, tagline: 'Everything that has a beginning has an end', title: 'The Matrix Revolutions'})"
11,"(_11:Movie {released: 1997, tagline: 'Evil has its winning ways', title: ""The Devil's Advocate""})"
12,"(_12:Person {born: 1975, name: 'Charlize Theron'})"
13,"(_13:Person {born: 1940, name: 'Al Pacino'})"
14,"(_14:Person {born: 1944, name: 'Taylor Hackford'})"
15,"(_15:Movie {released: 1992, tagline: ""In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."", title: 'A Few Good Men'})"
16,"(_16:Person {born: 1962, name: 'Tom Cruise'})"
17,"(_17:Person {born: 1937, name: 'Jack Nicholson'})"
18,"(_18:Person {born: 1962, name: 'Demi Moore'})"
19,"(_19:Person {born: 1958, name: 'Kevin Bacon'})"
20,"(_20:Person {born: 1966, name: 'Kiefer Sutherland'})"
21,"(_21:Person {born: 1971, name: 'Noah Wyle'})"
22,"(_22:Person {born: 1968, name: 'Cuba Gooding Jr.'})"
23,"(_23:Person {born: 1957, name: 'Kevin Pollak'})"
24,"(_24:Person {born: 1943, name: 'J.T. Walsh'})"
25,"(_25:Person {born: 1967, name: 'James Marshall'})"
26,"(_26:Person {born: 1948, name: 'Christopher Guest'})"
27,"(_27:Person {born: 1947, name: 'Rob Reiner'})"
28,"(_28:Person {born: 1961, name: 'Aaron Sorkin'})"
29,"(_29:Movie {released: 1986, tagline: 'I feel the need, the need for speed.', title: 'Top Gun'})"
30,"(_30:Person {born: 1957, name: 'Kelly McGillis'})"
31,"(_31:Person {born: 1959, name: 'Val Kilmer'})"
32,"(_32:Person {born: 1962, name: 'Anthony Edwards'})"
33,"(_33:Person {born: 1933, name: 'Tom Skerritt'})"
34,"(_34:Person {born: 1961, name: 'Meg Ryan'})"
35,"(_35:Person {born: 1944, name: 'Tony Scott'})"
36,"(_36:Person {born: 1941, name: 'Jim Cash'})"
37,"(_37:Movie {released: 2000, tagline: 'The rest of his life begins now.', title: 'Jerry Maguire'})"
38,"(_38:Person {born: 1969, name: 'Renee Zellweger'})"
39,"(_39:Person {born: 1962, name: 'Kelly Preston'})"
40,"(_40:Person {born: 1974, name: ""Jerry O'Connell""})"
41,"(_41:Person {born: 1970, name: 'Jay Mohr'})"
42,"(_42:Person {born: 1961, name: 'Bonnie Hunt'})"
43,"(_43:Person {born: 1971, name: 'Regina King'})"
44,"(_44:Person {born: 1996, name: 'Jonathan Lipnicki'})"
45,"(_45:Person {born: 1957, name: 'Cameron Crowe'})"
46,"(_46:Movie {released: 1986, tagline: ""For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of."", title: 'Stand By Me'})"
47,"(_47:Person {born: 1970, name: 'River Phoenix'})"
48,"(_48:Person {born: 1971, name: 'Corey Feldman'})"
49,"(_49:Person {born: 1972, name: 'Wil Wheaton'})"
50,"(_50:Person {born: 1966, name: 'John Cusack'})"
51,"(_51:Person {born: 1942, name: 'Marshall Bell'})"
52,"(_52:Movie {released: 1997, tagline: 'A comedy from the heart that goes for the throat.', title: 'As Good as It Gets'})"
53,"(_53:Person {born: 1963, name: 'Helen Hunt'})"
54,"(_54:Person {born: 1963, name: 'Greg Kinnear'})"
55,"(_55:Person {born: 1940, name: 'James L. Brooks'})"
56,"(_56:Movie {released: 1998, tagline: 'After life there is more. The end is just the beginning.', title: 'What Dreams May Come'})"
57,"(_57:Person {born: 1960, name: 'Annabella Sciorra'})"
58,"(_58:Person {born: 1929, name: 'Max von Sydow'})"
59,"(_59:Person {born: 1942, name: 'Werner Herzog'})"
60,"(_60:Person {born: 1951, name: 'Robin Williams'})"
61,"(_61:Person {born: 1956, name: 'Vincent Ward'})"
62,"(_62:Movie {released: 1999, tagline: 'First loves last. Forever.', title: 'Snow Falling on Cedars'})"
63,"(_63:Person {born: 1970, name: 'Ethan Hawke'})"
64,"(_64:Person {born: 1971, name: 'Rick Yune'})"
65,"(_65:Person {born: 1940, name: 'James Cromwell'})"
66,"(_66:Person {born: 1953, name: 'Scott Hicks'})"
67,"(_67:Movie {released: 1998, tagline: 'At odds in life... in love on-line.', title: ""You've Got Mail""})"
68,"(_68:Person {born: 1968, name: 'Parker Posey'})"
69,"(_69:Person {born: 1973, name: 'Dave Chappelle'})"
70,"(_70:Person {born: 1967, name: 'Steve Zahn'})"
71,"(_71:Person {born: 1956, name: 'Tom Hanks'})"
72,"(_72:Person {born: 1941, name: 'Nora Ephron'})"
73,"(_73:Movie {released: 1993, tagline: 'What if someone you never met, someone you never saw, someone you never knew was the only someone for you?', title: 'Sleepless in Seattle'})"
74,"(_74:Person {born: 1956, name: 'Rita Wilson'})"
75,"(_75:Person {born: 1953, name: 'Bill Pullman'})"
76,"(_76:Person {born: 1949, name: 'Victor Garber'})"
77,"(_77:Person {born: 1962, name: ""Rosie O'Donnell""})"
78,"(_78:Movie {released: 1990, tagline: 'A story of love, lava and burning desire.', title: 'Joe Versus the Volcano'})"
79,"(_79:Person {born: 1950, name: 'John Patrick Stanley'})"
80,"(_80:Person {born: 1956, name: 'Nathan Lane'})"
81,"(_81:Movie {released: 1998, tagline: 'Can two friends sleep together and still love each other in the morning?', title: 'When Harry Met Sally'})"
82,"(_82:Person {born: 1948, name: 'Billy Crystal'})"
83,"(_83:Person {born: 1956, name: 'Carrie Fisher'})"
84,"(_84:Person {born: 1949, name: 'Bruno Kirby'})"
85,"(_85:Movie {released: 1996, tagline: 'In every life there comes a time when that thing you dream becomes that thing you do', title: 'That Thing You Do'})"
86,"(_86:Person {born: 1977, name: 'Liv Tyler'})"
87,"(_87:Movie {released: 2000, tagline: 'Pain heals, Chicks dig scars... Glory lasts forever', title: 'The Replacements'})"
88,"(_88:Person {born: 1970, name: 'Brooke Langton'})"
89,"(_89:Person {born: 1930, name: 'Gene Hackman'})"
90,"(_90:Person {born: 1968, name: 'Orlando Jones'})"
91,"(_91:Person {born: 1950, name: 'Howard Deutch'})"
92,"(_92:Movie {released: 2006, tagline: ""Based on the extraordinary true story of one man's fight for freedom"", title: 'RescueDawn'})"
93,"(_93:Person {born: 1974, name: 'Christian Bale'})"
94,"(_94:Person {born: 1954, name: 'Zach Grenier'})"
95,"(_95:Movie {released: 1996, tagline: 'Come as you are', title: 'The Birdcage'})"
96,"(_96:Person {born: 1931, name: 'Mike Nichols'})"
97,"(_97:Movie {released: 1992, tagline: ""It's a hell of a thing, killing a man"", title: 'Unforgiven'})"
98,"(_98:Person {born: 1930, name: 'Richard Harris'})"
99,"(_99:Person {born: 1930, name: 'Clint Eastwood'})"
100,"(_100:Movie {released: 1995, tagline: 'The hottest data on earth. In the coolest head in town', title: 'Johnny Mnemonic'})"
101,"(_101:Person {born: 1947, name: 'Takeshi Kitano'})"
102,"(_102:Person {born: 1968, name: 'Dina Meyer'})"
103,"(_103:Person {born: 1958, name: 'Ice-T'})"
104,"(_104:Person {born: 1953, name: 'Robert Longo'})"
105,"(_105:Movie {released: 2012, tagline: 'Everything is connected', title: 'Cloud Atlas'})"
106,"(_106:Person {born: 1966, name: 'Halle Berry'})"
107,"(_107:Person {born: 1949, name: 'Jim Broadbent'})"
108,"(_108:Person {born: 1965, name: 'Tom Tykwer'})"
109,"(_109:Person {born: 1969, name: 'David Mitchell'})"
110,"(_110:Person {born: 1961, name: 'Stefan Arndt'})"
111,"(_111:Movie {released: 2006, tagline: 'Break The Codes', title: 'The Da Vinci Code'})"
112,"(_112:Person {born: 1939, name: 'Ian McKellen'})"
113,"(_113:Person {born: 1976, name: 'Audrey Tautou'})"
114,"(_114:Person {born: 1971, name: 'Paul Bettany'})"
115,"(_115:Person {born: 1954, name: 'Ron Howard'})"
116,"(_116:Movie {released: 2006, tagline: 'Freedom! Forever!', title: 'V for Vendetta'})"
117,"(_117:Person {born: 1981, name: 'Natalie Portman'})"
118,"(_118:Person {born: 1946, name: 'Stephen Rea'})"
119,"(_119:Person {born: 1940, name: 'John Hurt'})"
120,"(_120:Person {born: 1967, name: 'Ben Miles'})"
121,"(_121:Movie {released: 2008, tagline: 'Speed has no limits', title: 'Speed Racer'})"
122,"(_122:Person {born: 1985, name: 'Emile Hirsch'})"
123,"(_123:Person {born: 1960, name: 'John Goodman'})"
124,"(_124:Person {born: 1946, name: 'Susan Sarandon'})"
125,"(_125:Person {born: 1966, name: 'Matthew Fox'})"
126,"(_126:Person {born: 1980, name: 'Christina Ricci'})"
127,"(_127:Person {born: 1982, name: 'Rain'})"
128,"(_128:Movie {released: 2009, tagline: 'Prepare to enter a secret world of assassins', title: 'Ninja Assassin'})"
129,(_129:Person {name: 'Naomie Harris'})
130,"(_130:Movie {released: 1999, tagline: ""Walk a mile you'll never forget."", title: 'The Green Mile'})"
131,"(_131:Person {born: 1957, name: 'Michael Clarke Duncan'})"
132,"(_132:Person {born: 1953, name: 'David Morse'})"
133,"(_133:Person {born: 1968, name: 'Sam Rockwell'})"
134,"(_134:Person {born: 1955, name: 'Gary Sinise'})"
135,"(_135:Person {born: 1959, name: 'Patricia Clarkson'})"
136,"(_136:Person {born: 1959, name: 'Frank Darabont'})"
137,"(_137:Movie {released: 2008, tagline: '400 million people were waiting for the truth.', title: 'Frost/Nixon'})"
138,"(_138:Person {born: 1938, name: 'Frank Langella'})"
139,"(_139:Person {born: 1969, name: 'Michael Sheen'})"
140,"(_140:Person {born: 1960, name: 'Oliver Platt'})"
141,"(_141:Movie {released: 1992, tagline: ""He didn't want law. He wanted justice."", title: 'Hoffa'})"
142,"(_142:Person {born: 1944, name: 'Danny DeVito'})"
143,"(_143:Person {born: 1965, name: 'John C. Reilly'})"
144,"(_144:Movie {released: 1995, tagline: 'Houston, we have a problem.', title: 'Apollo 13'})"
145,"(_145:Person {born: 1950, name: 'Ed Harris'})"
146,"(_146:Person {born: 1955, name: 'Bill Paxton'})"
147,"(_147:Movie {released: 1996, tagline: ""Don't Breathe. Don't Look Back."", title: 'Twister'})"
148,"(_148:Person {born: 1967, name: 'Philip Seymour Hoffman'})"
149,"(_149:Person {born: 1943, name: 'Jan de Bont'})"
150,"(_150:Movie {released: 2000, tagline: 'At the edge of the world, his journey begins.', title: 'Cast Away'})"
151,"(_151:Person {born: 1951, name: 'Robert Zemeckis'})"
152,"(_152:Movie {released: 1975, tagline: ""If he's crazy, what does that make you?"", title: ""One Flew Over the Cuckoo's Nest""})"
153,"(_153:Person {born: 1932, name: 'Milos Forman'})"
154,"(_154:Movie {released: 2003, title: ""Something's Gotta Give""})"
155,"(_155:Person {born: 1946, name: 'Diane Keaton'})"
156,"(_156:Person {born: 1949, name: 'Nancy Meyers'})"
157,"(_157:Movie {released: 1999, tagline: ""One robot's 200 year journey to become an ordinary man."", title: 'Bicentennial Man'})"
158,"(_158:Person {born: 1958, name: 'Chris Columbus'})"
159,"(_159:Movie {released: 2007, tagline: ""A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire."", title: ""Charlie Wilson's War""})"
160,"(_160:Person {born: 1967, name: 'Julia Roberts'})"
161,"(_161:Movie {released: 2004, tagline: 'This Holiday Season\u2026 Believe', title: 'The Polar Express'})"
162,"(_162:Movie {released: 1992, tagline: 'Once in a lifetime you get a chance to do something different.', title: 'A League of Their Own'})"
163,"(_163:Person {born: 1954, name: 'Madonna'})"
164,"(_164:Person {born: 1956, name: 'Geena Davis'})"
165,"(_165:Person {born: 1963, name: 'Lori Petty'})"
166,"(_166:Person {born: 1943, name: 'Penny Marshall'})"
167,(_167:Person {name: 'Paul Blythe'})
168,(_168:Person {name: 'Angela Scope'})
169,(_169:Person {name: 'Jessica Thompson'})
170,(_170:Person {name: 'James Thompson'})
